class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
TestTransform,tests/test_hub_mixin.py,2,1,0,1.0,1,1,17,0,17.0,1,0,0
HorizontalFlip,tests/test_serialization.py,1,0,0,1.0,1,0,0,0,0,0,0,0
TestAreaForDownscaleOutput,tests/test_resize_area_downscale.py,3,3,0,1.0,19,1,107,0,107.0,1,0,0
ValidationModel,tests/test_pydantic.py,6,0,0,1.0,14,7,26,16,6.0,2,0,0
MyTransformInitSchema,tests/test_pydantic.py,2,0,0,1.0,5,6,5,0,0.83,2,1,0
MyTransform,tests/test_pydantic.py,2,1,0,1.0,7,6,5,0,0.83,2,0,0
SimpleTransform,tests/test_pydantic.py,1,1,0,1.0,6,6,7,1,1.33,2,0,0
CustomImageTransform,tests/test_pydantic.py,1,1,0,1.0,7,4,11,5,4.0,2,0,0
InitSchema,tests/test_pydantic.py,1,0,0,1.0,1,0,0,0,0,0,0,0
MockWorkerInfo,tests/test_per_worker_seed.py,2,1,0,1.0,3,1,6,0,6.0,1,0,0
TestDataset,tests/test_per_worker_seed.py,3,3,0,1.0,11,0,0,0,0,0,0,0
SimpleDataset,tests/test_per_worker_seed.py,3,3,0,1.0,9,0,0,0,0,0,0,0
MockValidationInfo,tests/test_blur.py,1,1,0,1.0,3,2,73,1,37.0,1,0,0
InMemoryFile,tests/utils.py,2,2,0,1.0,6,1,11,0,11.0,1,0,0
OpenMock,tests/utils.py,4,3,0,1.0,4,3,19,2,7.0,2,0,0
DummyTransform,tests/test_core.py,2,2,0,1.0,3,0,0,0,0,0,0,0
DefaultValueChecker,tools/check_no_defaults_in_schemas.py,6,6,0,0.667,25,1,140,0,140.0,1,0,0
ToTensorV2,albumentations/pytorch/transforms.py,10,8,0,0.667,28,54,229,117,6.41,13,0,0
ToTensor3D,albumentations/pytorch/transforms.py,6,4,0,1.0,18,10,88,38,12.6,2,0,0
SerializableMeta,albumentations/core/serialization.py,5,4,0,1.0,19,11,53,26,7.18,4,1,0
Serializable,albumentations/core/serialization.py,4,4,0,1.0,15,11,53,26,7.18,4,3,0
LabelEncoder,albumentations/core/label_manager.py,7,6,0,0.667,26,5,152,0,30.4,1,0,0
LabelMetadata,albumentations/core/label_manager.py,5,0,0,1.0,9,1,9,0,9.0,1,0,0
LabelManager,albumentations/core/label_manager.py,10,9,0,1.0,29,5,138,7,29.0,1,0,0
BboxParams,albumentations/core/bbox_utils.py,6,5,0,1.0,23,19,204,55,13.63,5,0,2
BboxProcessor,albumentations/core/bbox_utils.py,9,8,0,1.0,26,35,292,84,10.74,6,1,1
ReferenceImage,albumentations/core/type_definitions.py,5,0,0,1.0,9,12,25,4,2.42,1,0,0
Targets,albumentations/core/type_definitions.py,7,0,0,1.0,7,4,24,0,6.0,1,0,0
Interpolation,albumentations/core/transforms_interface.py,1,1,0,1.0,5,7,9,3,1.71,4,0,0
BaseTransformInitSchema,albumentations/core/transforms_interface.py,3,0,0,1.0,8,22,23,17,1.82,5,1,0
CombinedMeta,albumentations/core/transforms_interface.py,1,0,0,1.0,2,13,10,6,1.23,4,0,1
BasicTransform,albumentations/core/transforms_interface.py,45,32,214,0.112,94,105,933,437,13.05,17,2,1
DualTransform,albumentations/core/transforms_interface.py,8,7,9,0.286,17,51,442,231,13.2,10,2,1
ImageOnlyTransform,albumentations/core/transforms_interface.py,3,1,0,1.0,9,20,32,11,2.15,5,0,1
NoOp,albumentations/core/transforms_interface.py,10,8,0,1.0,13,24,191,33,9.33,5,0,1
Transform3D,albumentations/core/transforms_interface.py,6,5,0,0.667,15,4,69,27,24.0,1,0,1
InitSchema,albumentations/core/transforms_interface.py,1,0,0,1.0,1,0,0,0,0,0,0,0
BaseCompose,albumentations/core/composition.py,34,30,34,0.438,81,58,684,150,14.38,10,6,1
Compose,albumentations/core/composition.py,37,36,146,0.257,87,104,1402,684,20.06,16,1,2
OneOf,albumentations/core/composition.py,3,2,0,1.0,20,30,78,34,3.73,6,0,1
SomeOf,albumentations/core/composition.py,6,5,0,0.8,25,21,198,63,12.43,4,1,1
RandomOrder,albumentations/core/composition.py,3,2,0,1.0,13,6,70,25,15.83,2,0,1
OneOrOther,albumentations/core/composition.py,3,2,0,1.0,21,34,85,42,3.74,7,0,1
SelectiveChannelTransform,albumentations/core/composition.py,4,3,0,1.0,29,25,133,51,7.36,6,0,1
ReplayCompose,albumentations/core/composition.py,9,8,0,0.533,48,24,223,60,11.79,7,0,1
Sequential,albumentations/core/composition.py,3,2,0,1.0,14,15,58,11,4.6,4,0,1
ValidatedTransformMeta,albumentations/core/validation.py,5,4,0,1.0,48,16,170,59,14.31,2,0,0
KeypointParams,albumentations/core/keypoints_utils.py,6,5,0,1.0,15,12,101,14,9.58,2,0,2
KeypointsProcessor,albumentations/core/keypoints_utils.py,8,7,0,1.0,22,29,234,112,11.93,5,1,1
Params,albumentations/core/utils.py,3,2,0,1.0,9,17,36,13,2.88,3,2,2
