class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
install_scripts_windows_wrapper,setup.py,1,1,0,1.0,15,5,48,15,12.6,3,0,0
RouteTest,tests/test_routes.py,5,5,0,1.0,4,4,49,10,14.75,3,0,0
EmailTest,tests/test_emails.py,5,5,0,1.0,37,41,212,68,6.83,6,0,0
TableTest,tests/test_table.py,3,3,0,1.0,16,3,45,2,15.67,2,0,0
ClusterTest,tests/test_cluster.py,4,4,0,1.0,11,3,60,6,22.0,2,0,0
CommentTest,tests/test_comments.py,3,3,0,1.0,21,10,145,48,19.3,4,0,0
FavoriteTest,tests/test_favorites.py,3,3,0,1.0,21,4,95,7,25.5,3,0,0
FeedTest,tests/test_feed.py,7,7,0,0.81,37,6,140,11,25.17,4,0,0
WebEditorPostTest,tests/test_webeditorposts.py,10,9,0,1.0,27,17,351,108,27.0,6,0,0
TagsTest,tests/test_tags.py,8,7,0,1.0,38,19,228,35,13.84,4,0,0
PostTest,tests/test_gitposts.py,4,4,0,1.0,22,11,112,40,13.82,7,0,0
Config,knowledge_repo_v2/service/config.py,2,0,0,1.0,4,1,3,0,3.0,1,0,0
KnowledgePostConverter,knowledge_repo/converter.py,14,13,0,0.5,33,12,116,33,12.42,8,10,0
KnowledgePostProcessor,knowledge_repo/postprocessor.py,2,1,0,1.0,3,5,10,5,3.0,4,3,0
ReferenceCache,knowledge_repo/post.py,9,9,0,1.0,18,7,92,19,15.86,4,0,1
KnowledgePost,knowledge_repo/post.py,38,37,214,0.217,86,36,537,174,19.75,13,1,0
SubstitutionMapper,knowledge_repo/mapping.py,4,4,0,0.667,21,4,41,2,10.75,3,0,0
KnowledgeRepositoryConfig,knowledge_repo/config.py,13,13,5,0.455,37,18,178,78,14.22,7,0,1
KnowledgeRepository,knowledge_repo/repository.py,64,62,211,0.199,73,26,557,144,26.96,10,8,0
PostStatus,knowledge_repo/repository.py,5,0,0,1.0,5,0,0,0,0,0,0,0
CheckedOutRevision,knowledge_repo/utils/git.py,3,3,0,0.667,7,1,13,0,13.0,1,0,0
SubclassRegisteringABCMeta,knowledge_repo/utils/registry.py,2,2,0,1.0,11,3,20,1,7.0,2,0,0
GitKnowledgeRepository,knowledge_repo/repositories/gitrepository.py,48,46,173,0.355,105,1191,1044,440,1.25,12,0,1
FolderKnowledgeRepository,knowledge_repo/repositories/folder.py,31,29,13,0.429,56,14,297,78,26.79,6,0,1
StubKnowledgeRepository,knowledge_repo/repositories/stub.py,29,28,0,1.0,4,5,102,6,21.6,4,0,1
GcsRepository,knowledge_repo/repositories/gcsrepositorty.py,31,28,33,0.343,58,5,212,9,44.2,2,0,1
S3Repository,knowledge_repo/repositories/s3repositorty.py,31,28,47,0.276,57,16,261,60,20.06,2,0,1
DbKnowledgeRepository,knowledge_repo/repositories/dbrepository.py,31,30,0,0.636,55,69,313,54,5.32,12,1,1
PostRef,knowledge_repo/repositories/dbrepository.py,1,0,0,1.0,1,0,0,0,0,0,0,1
