class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
TestUrlRegex,tests/test_url_regex.py,3,3,1,0.333,11,1,18,0,18.0,1,0,0
ApiTest,tests/test_error_handling.py,2,2,0,1.0,9,1,19,0,19.0,1,3,0
ApiTest,tests/test_twitter_utils.py,12,12,0,0.622,25,7,122,0,17.43,2,3,0
ModelsChangesTest,tests/test_tweet_changes.py,4,3,1,0.333,9,1,44,0,44.0,1,0,0
ErrNull,tests/test_rate_limit.py,2,1,0,1.0,1,1,9,0,9.0,1,0,0
RateLimitTests,tests/test_rate_limit.py,5,4,0,0.667,14,5,67,15,16.4,1,3,0
RateLimitMethodsTests,tests/test_rate_limit.py,12,11,0,0.822,19,10,195,14,20.9,3,3,0
PlaceTest,tests/test_place.py,9,8,0,0.762,10,1,135,0,135.0,1,0,0
ErrNull,tests/test_status_place.py,2,1,0,1.0,1,1,9,0,9.0,1,0,0
ApiPlaceTest,tests/test_status_place.py,4,4,0,0.667,15,2,35,0,17.5,1,3,0
ErrNull,tests/test_unicode.py,2,1,0,1.0,1,1,9,0,9.0,1,0,0
ApiTest,tests/test_unicode.py,8,8,0,0.619,22,4,96,14,27.5,1,3,0
ErrNull,tests/test_api_30.py,2,1,0,1.0,1,1,9,0,9.0,1,0,0
ApiTest,tests/test_api_30.py,104,104,0,0.94,62,56,3624,1810,97.04,5,3,0
FileCacheTest,tests/test_filecache.py,5,5,2,0.333,9,2,41,3,22.0,2,0,0
MediaTest,tests/test_media.py,12,9,0,0.714,15,5,120,4,24.8,2,0,0
UserTest,tests/test_user.py,10,9,0,0.714,8,3,104,13,39.0,3,0,0
StatusTest,tests/test_status.py,11,10,0,0.714,12,10,168,72,24.0,5,0,0
TrendTest,tests/test_trend.py,7,6,0,0.833,12,3,48,3,17.0,3,0,0
ErrNull,tests/test_friendship.py,2,1,0,1.0,1,1,9,0,9.0,1,0,0
ApiTest,tests/test_friendship.py,5,5,0,0.7,13,1,55,0,55.0,1,3,0
ErrNull,tests/test_searching.py,2,1,0,1.0,1,1,9,0,9.0,1,0,0
ApiTest,tests/test_searching.py,6,6,0,0.733,15,1,83,0,83.0,1,3,0
ModelsTest,tests/test_models.py,27,13,0,0.705,35,12,213,45,21.5,2,0,0
TestTweetLength,tests/test_tweet_length.py,3,3,1,0.333,6,3,79,11,30.0,2,0,0
ParseTest,tests/test_parse_tweet.py,3,2,0,1.0,9,2,48,12,30.0,2,0,0
Emoticons,twitter/parse_tweet.py,2,0,0,1.0,2,4,46,20,16.5,4,0,0
ParseTweet,twitter/parse_tweet.py,10,8,0,1.0,15,9,138,69,23.0,7,0,0
TwitterError,twitter/error.py,2,1,0,1.0,3,3,14,5,6.33,3,0,0
PythonTwitterDeprecationWarning,twitter/error.py,2,0,0,1.0,1,1,5,0,5.0,1,2,0
PythonTwitterDeprecationWarning330,twitter/error.py,2,0,0,1.0,1,2,5,0,2.5,1,0,1
PythonTwitterDeprecationWarning340,twitter/error.py,2,0,0,1.0,1,1,3,0,3.0,1,0,1
_FileCacheError,twitter/_file_cache.py,1,0,0,1.0,1,2,5,1,3.0,2,0,0
_FileCache,twitter/_file_cache.py,11,10,6,0.393,26,2,5,1,3.0,2,0,0
TwitterModel,twitter/models.py,9,8,17,0.095,24,10,104,19,12.3,2,11,1
Media,twitter/models.py,3,2,1,0.0,6,7,41,13,7.71,1,0,1
List,twitter/models.py,3,2,0,1.0,7,4,41,8,12.25,1,1,1
Category,twitter/models.py,3,2,1,0.0,6,5,24,3,5.4,1,0,1
DirectMessage,twitter/models.py,3,2,1,0.0,8,8,45,17,7.75,2,0,1
Trend,twitter/models.py,4,3,3,0.0,7,7,37,8,6.43,1,0,1
Hashtag,twitter/models.py,3,2,1,0.0,6,3,18,1,6.33,1,0,1
Url,twitter/models.py,3,2,1,0.0,6,3,20,2,7.33,1,0,1
UserStatus,twitter/models.py,5,3,3,0.0,10,9,78,27,11.67,1,0,1
User,twitter/models.py,4,3,1,0.0,12,9,78,27,11.67,1,0,1
Status,twitter/models.py,5,4,0,0.667,33,13,272,123,30.38,2,0,1
Place,twitter/models.py,3,2,1,0.0,6,1,30,0,30.0,1,0,1
RateLimit,twitter/ratelimit.py,6,5,2,0.333,21,6,170,15,30.83,1,0,0
ShortenURL,examples/shorten_url.py,3,2,0,1.0,10,4,70,19,22.25,4,0,0
TweetRc,examples/tweet.py,7,7,7,0.333,5,3,50,21,23.67,3,0,0
